Real,Predict
0.039313838,0.022414127
0.017417198,0.029490544
0.011724842,0.030982053
0.003054748,0.023775142
0.0,0.019932436
0.004319003,0.02033939
0.0043382556,0.020347212
0.0043382556,0.00799737
0.0043382556,0.0041434104
0.0043382556,0.003200609
0.0043382556,0.0028404389
0.0043382556,0.0033641285
0.0043382556,0.0024751713
0.0043382556,0.0019150355
0.0043382556,0.0017998544
0.0043382556,0.0016846955
0.0043382556,0.0019483482
0.0043382556,0.0026991803
0.0043382556,0.0026396299
0.0043382556,0.0031446042
0.0043382556,0.0033566887
0.0043382556,0.0034459473
0.0043382556,0.0032646502
0.0043382556,0.0034885278
0.0043382556,0.0031049033
0.0043382556,0.0018698901
0.0043382556,0.0018545792
0.0043382556,0.0017113974
0.0043382556,0.0018189347
0.0043382556,0.0021552087
0.0043382556,0.002083531
0.0043382556,0.0024558902
0.0043382556,0.0023360956
0.0043382556,0.0033642938
0.0043382556,0.0032445206
0.0043382556,0.0042455294
0.0043382556,0.002976525
0.0043382556,0.0017534138
0.0043382556,0.0033455528
0.0043382556,0.0040073562
0.0043382556,0.004735898
0.0043382556,0.004866658
0.0043382556,0.0031130272
0.0043382556,0.0014634032
0.0043382556,0.00097502046
0.0043382556,0.002996028
0.0043382556,0.0044968254
0.0043382556,0.0047925217
0.0043382556,0.0046141106
0.0043382556,0.003954956
0.0043382556,0.0039175083
0.0043382556,0.003541976
0.0043382556,0.003484428
0.0043382556,0.0040379637
0.0043382556,0.0031166251
0.0043382556,0.0027854657
0.0043382556,0.0027294224
0.0043382556,0.0033002454
0.0043382556,0.0033935406
0.0043382556,0.0035241875
0.0043382556,0.0042217714
0.0043382556,0.004101107
0.0043382556,0.0033999279
0.0043382556,0.0035964164
0.0043382556,0.0025462285
0.0043382556,0.002729379
0.0043382556,0.0023652562
0.0043382556,0.0026102446
0.0043382556,0.0029068217
0.0043382556,0.0025989723
0.0043382556,0.0030060392
0.0043382556,0.0025764997
0.0043382556,0.002542878
0.0043382556,0.002777398
0.0043382556,0.0028010635
0.0043382556,0.0037035516
0.0043382556,0.00375519
0.0043382556,0.004129476
0.0043382556,0.0041644224
0.0043382556,0.0035987734
0.0043382556,0.0041332333
0.0043382556,0.003657602
0.0043382556,0.0035739285
0.0043382556,0.0005440535
0.0043382556,7.090811e-05
0.0043382556,0.0011386648
0.0043382556,0.0016760479
0.0043382556,0.0023854938
0.0043382556,0.0029443193
0.0043382556,0.0022804565
0.0043382556,0.0024108256
0.0043382556,0.0026475554
0.0043382556,0.0028295899
0.0043382556,0.0029359378
0.0043382556,0.0028667548
0.0043382556,0.0031677117
0.0043382556,0.002484852
0.0043382556,0.003095429
0.0043382556,0.0028200722
0.0043382556,0.0029868186
0.0043382556,0.0040411283
0.0043382556,0.003059725
0.0043382556,0.0037566675
0.0043382556,0.0037578382
0.0043382556,0.0028750878
0.0043382556,0.0034836847
0.0043382556,0.003522912
0.0043382556,0.003977716
0.0043382556,0.003180642
0.0043382556,0.0037424657
0.014259769,0.0035468545
0.08380663,0.001966748
0.106004894,0.016168108
0.08726568,0.031183409
0.15500921,0.05798343
0.24156895,0.121961206
0.27089068,0.16603026
0.21260661,0.16943385
0.13176489,0.16983113
0.17998627,0.2112787
0.16277443,0.18466644
0.16541846,0.16994481
0.26103336,0.22560143
0.18478017,0.17725092
0.20118982,0.19435607
0.32293692,0.21991476
0.39828524,0.23680124
0.540761,0.32710195
0.6538059,0.42785704
0.6516689,0.46299988
0.650841,0.5428775
0.5746263,0.5803538
0.5628245,0.5818934
0.58870643,0.57731676
0.68566257,0.6300037
0.6134589,0.62536323
0.5135186,0.59723085
0.57019824,0.61737907
0.5888091,0.59012145
0.6038839,0.58469296
0.63457257,0.6137331
0.6172452,0.58381265
0.60826063,0.59354913
0.59870493,0.6120137
0.5462929,0.6044999
0.57449156,0.5860996
0.71397674,0.6035988
0.6999352,0.62649673
0.64070773,0.5886911
0.59358376,0.6292718
0.6230338,0.6459288
0.6838336,0.6149946
0.7243282,0.6736405
0.7463661,0.67063284
0.7127831,0.6686796
0.72287786,0.70414937
0.8101179,0.7096908
0.8678244,0.7454979
0.89420044,0.7907935
0.85832,0.82549024
0.8694737,0.8126831
0.81199825,0.83070534
0.6701835,0.84266734
0.6428576,0.7360254
0.72905797,0.78345156
0.75756466,0.7819642
0.78286904,0.69824135
0.80754447,0.7703567
0.78094375,0.7486095
0.7003652,0.7278684
0.79191774,0.76506126
0.77742696,0.7773138
0.7540029,0.7707193
0.6558852,0.7354484
0.6689577,0.7481577
0.7276782,0.70862275
0.6588694,0.688669
0.7158635,0.72842395
0.6689962,0.6657588
0.76095957,0.68968016
0.7585979,0.7158371
0.6747656,0.69414246
0.6575794,0.7020385
0.6887815,0.6980059
0.68543154,0.69891673
0.66984975,0.6708255
0.6917785,0.69658464
