imf_1,imf_2,imf_3,imf_4,imf_5,imf_6
805.6620003693939,-108.4404919225827,-95.80541838881669,11.034455198093513,-2.6972620087171997,0.5170032346658815
805.834802461338,-107.61446233335442,-96.26318191916276,-12.112774550166037,5.127335612779927,-1.570860207040726
806.132604613961,-106.01630786002715,-97.22274032638292,-10.26183058394316,-2.3648657278692564,2.192009510085807
806.5313028356794,-103.67849662529989,-98.69076437845746,12.944674432179234,-2.8550666996877965,-2.2993236278028313
807.0225367283617,-100.61879942645817,-100.641453698923,9.304694722082527,5.096979908185357,1.7333347198201672
807.6460967572172,-96.80736616836926,-102.98332863279583,-13.797937819276811,-2.160431445992698,-0.6913393155260961
808.3891965529887,-92.27195194342171,-105.67215596897364,-8.589925599636576,-3.27959880976114,-0.8261677490520357
809.1723380400728,-87.11139888717086,-108.72413252509476,14.348059600378203,5.36804264030819,2.3143452829520976
810.0438841535582,-81.29327394728844,-112.00243258736927,7.955461131505229,-1.5960539499733124,-3.199166256181533
811.0576156686553,-74.78075598821809,-115.35232503739877,-14.978871855521831,-4.279519296711258,2.9067322879675612
812.2233856810105,-67.58660520586588,-118.66410028408231,-7.6320207738309085,5.40276851290955,-1.6673708510707692
813.466773198111,-59.81408790670809,-121.91641320570425,15.252834030852126,-0.5941174027634826,-0.33970010621648855
814.8263181537542,-51.452597978699,-124.96239069257362,7.274224819133614,-4.915114479808119,2.4491868797292495
816.2870736951581,-42.54912721251205,-127.71034436412884,-15.805277154751865,4.792768139814393,-4.136162514714188
817.8073749838869,-33.181128601344696,-130.09770194120358,-7.1129434849298425,0.5832717600696371,4.622357720871943
819.3760792855101,-23.396426236962366,-132.02802966100592,16.32970956688657,-5.18428063977303,-3.5867198480815152
820.9427914121786,-13.28411960679937,-133.44513473743618,6.803558091599105,3.870498636595528,1.1108565029885127
822.4878136764812,-2.900835994573676,-134.2550677768504,-16.787461833687935,1.8430193044940535,2.2208623008445656
824.071818857244,7.780637863507973,-134.27411115548554,-6.2863480527170745,-5.288321626934404,-5.251167602303826
